Site ID,Location Description,Speed Limit,Reason Code(s),Latitude,Longitude,Geo Location
2592,NB 170 St between 109 - 110 Ave,60,"(b), (c), (h)",53.55689727,-113.61519067,"(53.55689726799364, -113.61519066743405)"
2791,WB 106 Ave between 74 - 76 St,50,(h),53.54938881,-113.44241280,"(53.54938881273492, -113.4424127998047)"
2203,SB Ottewell Rd between 96A - 95 Ave,40,(h),53.53433695,-113.43694998,"(53.53433694538265, -113.43694998364509)"
2726,WB 111 Ave between 113 - 116 St,60,(b),53.55894104,-113.51855918,"(53.55894103626022, -113.51855918183202)"
2767,EB Buena Vista Rd between 142 - 138 St,50,(h),53.51932472,-113.56262846,"(53.519324723843766, -113.56262845940637)"
2765,EB 95 Ave between 163 - 160 St,50,(c),53.53158424,-113.59980952,"(53.53158424066625, -113.59980952351272)"
2153,SB Ottewell Rd between 93A - 92 Ave,40,(h),53.52840133,-113.43300411,"(53.52840132685379, -113.43300410715776)"
2745,WB 127 Ave between 92 - 93 St,60,(h),53.58477414,-113.48367366,"(53.58477414147545, -113.48367366377676)"
7044,EB Yellowhead Tr at 215 St,100,"(a), (b), (c)",53.57004750,-113.68955622,"(53.57004750075467, -113.68955622353262)"
2781,NB 149 St. Between 80 - 84 Ave,60,(h),53.51582617,-113.57789933,"(53.51582616874022, -113.57789932650225)"
2778,SB 104 St between 78 - 76 Ave,50,(c),53.51329401,-113.49764683,"(53.51329400701608, -113.49764683242655)"
2353,WB 94B Ave btwn 61 - 68 St,40,(h),53.53391167,-113.42970693,"(53.53391166901318, -113.42970693160535)"
2725,EB 111 Ave between 116 - 113 St,60,(b),53.55882471,-113.51855732,"(53.558824708121165, -113.51855732079618)"
2747,WB 87 Ave between 119 St - Sask Dr,50,(h),53.52296101,-113.53828283,"(53.52296101325645, -113.53828283007503)"
2577,EB 144 Ave between 94 - 92 St,50,"(a), (f), (h)",53.60602927,-113.48376833,"(53.60602926817447, -113.4837683258007)"
7176,SB 189 St between 95 - 91 Ave,50,(h),53.52806650,-113.64860256,"(53.52806650024237, -113.64860255678236)"
7031,EB 38 Avenue between 44 - 41 Street,50,(h),53.47195845,-113.40225282,"(53.471958446735435, -113.40225282435168)"
2494,SB 142 St between 106 - 104 Ave,50,"(a), (h)",53.54745783,-113.56575002,"(53.54745783435487, -113.56575002307038)"
2752,WB 95 Ave between 165 - 167 St,50,"(f), (h)",53.53169708,-113.60891877,"(53.53169708278609, -113.60891877232737)"
7063,NB Groat Rd btwn Victoria Pk Rd-S of 107 Ave,50,"(c), (h)",53.54528298,-113.54246556,"(53.54528298234105, -113.54246556250447)"
2562,EB 39 Ave between 97 - 93 St,50,"(b), (c)",53.47411071,-113.47638952,"(53.4741107063277, -113.47638952136572)"
301,WB Whitemud Dr. at Rainbow Valley Bridge,80,(a),53.48260935,-113.55484121,"(53.48260934952588, -113.55484121000502)"
2527,NB Riverbend Rd between 43 - 45 Ave,50,(h),53.48179312,-113.57958700,"(53.481793118004646, -113.57958699971324)"
7018,NB Anthony Henday Dr.  @ Yellowhead Tr.,100,"(a), (b), (c)",53.57428873,-113.66123606,"(53.574288729218694, -113.66123605661255)"
7196,WB Anthony Henday Dr between 18 - 66 St,100,"(a), (b), (c)",53.63757881,-113.40232135,"(53.637578811726904, -113.40232134694827)"
2593,NB 91 St between Anthony Henday Dr - 23 Ave,70,"(b), (c)",53.44580735,-113.46635873,"(53.445807349619315, -113.46635873271116)"
2352,EB 94B Ave btwn 68A - 61 St,40,(h),53.53390600,-113.43041314,"(53.533905999577, -113.43041314212095)"
261,WB Yellowhead Trail at 7710 Yellowhead Tr.,70,(c),53.58250717,-113.45958783,"(53.58250716540834, -113.45958783296466)"
2686,NB Towne Ctre Blvd btwn Taylor Green-Taylor Cove,50,(h),53.44876021,-113.57772748,"(53.44876020884693, -113.57772747675958)"
7013,EB Anthony Henday Dr @ Ray Gibbon Dr,100,"(a), (b), (c)",53.59113854,-113.64613646,"(53.5911385449838, -113.64613646310981)"
2588,WB 51 Ave between 114 - 116 St,50,(h),53.48832328,-113.52787750,"(53.4883232767095, -113.52787750170776)"
2770,WB 40 Ave between 107 - 111 St,50,"(b), (c), (f), (h)",53.47586251,-113.51295287,"(53.475862508727175, -113.51295287192254)"
7067,SB Wayne Gretzky Dr btwn Capilano Bridge-106 Ave,80,(a),53.55182598,-113.43783426,"(53.55182597727543, -113.43783425733217)"
7064,SB Groat Rd btwn S of 107 Ave-Victoria Pk Rd,50,"(b), (c), (h)",53.54560465,-113.54278674,"(53.545604650721856, -113.54278674412059)"
2620,SB 50 St between Fulton Rd - 101A Ave,50,"(c), (h)",53.54501797,-113.41870308,"(53.545017973609056, -113.41870307708544)"
2788,WB 132 Ave between Fort Rd - 66 St,50,"(a), (h)",53.59224906,-113.43708653,"(53.592249056423725, -113.43708652543764)"
7095,NB 121 St between Kingsway Ave - Yellowhead Tr,60,(c),53.57687194,-113.53053101,"(53.57687194294137, -113.53053101357578)"
